69 checks, 69 pass, 0 fail
/: 0 book links; 0 matching text runs; robots=[]
/packages: 0 book links; 0 matching text runs; robots=[]
/about: 0 book links; 0 matching text runs; robots=[]
/call: 0 book links; 0 matching text runs; robots=[]
/call/kickoff: 0 book links; 0 matching text runs; robots=['noindex, nofollow']
/services: 0 book links; 0 matching text runs; robots=[]
/services/thanks: 0 book links; 0 matching text runs; robots=['noindex, nofollow']
/contact: 0 book links; 0 matching text runs; robots=[]
/work: 0 book links; 0 matching text runs; robots=[]
/work/ordani: 0 book links; 0 matching text runs; robots=[]
/work/guardicore: 0 book links; 0 matching text runs; robots=[]
/work/rfp-engine: 0 book links; 0 matching text runs; robots=[]
/work/content-engine: 0 book links; 1 matching text runs; robots=[]
/playbook: 0 book links; 12 matching text runs; robots=['noindex, nofollow']
/playbook/thanks: 0 book links; 2 matching text runs; robots=['noindex, nofollow']
